timestamp,title,asin,consumptionDurationMs,terminationReason,deviceType,musicTerritory,isShufflePlay,titleSetAsin,trackLengthMs,artistAsin,selectionSourceArtistAsin
2018-12-27 06:23:23 GMT,Return to Pooh Corner,B004IY3NUI,253000,userStop,A2CZFJ2RKY7SE2,DE,false,B01LLWKYV0,254000,B001Q99244,
2018-12-26 22:12:57 GMT,"I'm Alright (Theme from ""Caddyshack"")",B004IY1UBC,226000,trackFinished,A2CZFJ2RKY7SE2,DE,false,B077W6SKQP,226000,B001Q99244,
2018-12-26 22:07:13 GMT,Meet Me Half Way,B004IY3NR6,219000,trackFinished,A2CZFJ2RKY7SE2,DE,false,B01LLWKYOW,219000,B001Q99244,
2018-12-26 22:03:37 GMT,Danger Zone,B004IY3NQ2,215000,trackFinished,A2CZFJ2RKY7SE2,DE,false,B077VZ25KY,215000,B001Q99244,
2018-12-26 13:00:48 GMT,Blackbird,B001SWQ1CU,65000,userStop,A2CZFJ2RKY7SE2,DE,false,,0,,
2018-12-26 12:43:25 GMT,Ties That Bind (Album Version),B001SWH3AE,5000,userStop,A2CZFJ2RKY7SE2,DE,false,,0,,
2018-12-25 17:13:29 GMT,Ecstasy,B00XKHIH3M,29000,userStop,A2CZFJ2RKY7SE2,DE,false,,0,,
2018-12-25 17:12:58 GMT,Nobody,B009QJUGMS,26000,userStop,A2CZFJ2RKY7SE2,DE,false,B009QD0HYQ,310000,B008YPZDV4,
2018-07-13 21:25:02 GMT,Rusted From The Rain,B002G117H6,253000,trackFinished,A1DL2DVDQVK3Q,DE,false,B01LLZEXFK,253000,B001Q57WCC,
2018-07-13 21:20:48 GMT,Come As You Are,B005NK9IX2,218000,trackFinished,A1DL2DVDQVK3Q,DE,false,B077WW1MX4,218000,B001Q9IRX6,
